,province,cap_total_mw,cap_unabated_mw,cap_ccs_mw
0,Anhui,6785.0,1185.0,5600.0
1,Beijing,0.0,0.0,0.0
2,Chongqing,4624.0,1414.0,3210.0
3,EastInnerMongolia,12912.0,4522.0,8390.0
4,Fujian,4665.0,1965.0,2700.0
5,Gansu,10170.0,1190.0,8980.0
6,Guangdong,9600.0,1880.0,7720.0
7,Guangxi,7595.0,2185.0,5410.0
8,Guizhou,10240.0,3140.0,7100.0
9,Hainan,1360.0,0.0,1360.0
10,Hebei,22044.0,2004.0,20040.0
11,Heilongjiang,8586.0,1836.0,6750.0
12,Henan,11580.0,3010.0,8570.0
13,Hubei,5750.0,1260.0,4490.0
14,Hunan,2464.0,964.0,1500.0
15,Jiangsu,6352.0,2412.0,3940.0
16,Jiangxi,835.0,535.0,300.0
17,Jilin,6604.0,3644.0,2960.0
18,Liaoning,13605.0,3745.0,9860.0
19,Ningxia,6280.0,1150.0,5130.0
20,Qinghai,1840.0,540.0,1300.0
21,Shaanxi,15080.0,4110.0,10970.0
22,Shandong,41966.0,10826.0,31140.0
23,Shanghai,700.0,100.0,600.0
24,Shanxi,30320.0,7250.0,23070.0
25,Sichuan,2295.0,165.0,2130.0
26,Tianjin,3370.0,1060.0,2310.0
27,WestInnerMongolia,27530.0,6640.0,20890.0
28,Xinjiang,36468.0,8758.0,27710.0
29,Xizang,0.0,0.0,0.0
30,Yunnan,4100.0,0.0,4100.0
31,Zhejiang,3797.0,1347.0,2450.0
