,province,cap_total_mw,cap_unabated_mw,cap_ccs_mw
0,Anhui,13280.0,620.0,12660.0
1,Beijing,0.0,0.0,0.0
2,Chongqing,2644.0,434.0,2210.0
3,EastInnerMongolia,10952.0,1872.0,9080.0
4,Fujian,1915.0,1315.0,600.0
5,Gansu,3750.0,1300.0,2450.0
6,Guangdong,7910.0,1630.0,6280.0
7,Guangxi,8250.0,1840.0,6410.0
8,Guizhou,10020.0,1940.0,8080.0
9,Hainan,0.0,0.0,0.0
10,Hebei,13384.0,3084.0,10300.0
11,Heilongjiang,4781.0,861.0,3920.0
12,Henan,8010.0,1570.0,6440.0
13,Hubei,5360.0,970.0,4390.0
14,Hunan,2064.0,804.0,1260.0
15,Jiangsu,6035.0,1335.0,4700.0
16,Jiangxi,2825.0,185.0,2640.0
17,Jilin,3624.0,2924.0,700.0
18,Liaoning,6560.0,5160.0,1400.0
19,Ningxia,8330.0,250.0,8080.0
20,Qinghai,1010.0,350.0,660.0
21,Shaanxi,11980.0,2150.0,9830.0
22,Shandong,22886.0,7116.0,15770.0
23,Shanghai,2500.0,0.0,2500.0
24,Shanxi,19360.0,2610.0,16750.0
25,Sichuan,330.0,0.0,330.0
26,Tianjin,2240.0,610.0,1630.0
27,WestInnerMongolia,12020.0,3710.0,8310.0
28,Xinjiang,21073.0,3953.0,17120.0
29,Xizang,0.0,0.0,0.0
30,Yunnan,2100.0,0.0,2100.0
31,Zhejiang,1935.0,615.0,1320.0
