,province,cap_gw_ub
0,Anhui,0.143145347
1,Beijing,12.08027444
2,Chongqing,1.121305221
3,EastInnerMongolia,0.178931684
4,Fujian,4.65222379
5,Gansu,0
6,Guangdong,40.76364372
7,Guangxi,0.57258139
8,Guizhou,0
9,Hainan,5.398965353
10,Hebei,1.080747373
11,Heilongjiang,0
12,Henan,4.008069727
13,Hubei,1.475112805
14,Hunan,0
15,Jiangsu,23.16211009
16,Jiangxi,0
17,Jilin,0
18,Liaoning,0
19,Ningxia,1.030646501
20,Qinghai,0
21,Shaanxi,0
22,Shandong,0
23,Shanghai,10.1864615
24,Shanxi,2.395298813
25,Sichuan,0.835014526
26,Tianjin,5.268941662
27,WestInnerMongolia,0.178931684
28,Xinjiang,0.380408761
29,Xizang,0.214718021
30,Yunnan,0
31,Zhejiang,14.87246759
