group,resource_type,cost_name,cost,unit
non_VRE,coal,capEx,4050,RMB/kW
non_VRE,coal,FOM,214,RMB/kW*yr
non_VRE,coal,VOM,31,RMB/MWh
non_VRE,coal_ccs,capEx,17400,RMB/kW
non_VRE,coal_ccs,FOM,549,RMB/kW*yr
non_VRE,coal_ccs,VOM,58,RMB/MWh
non_VRE,coal_chp,capEx,4100,RMB/kW
non_VRE,coal_chp,FOM,264,RMB/kW*yr
non_VRE,coal_chp,VOM,31,RMB/MWh
non_VRE,coal_chp_ccs,capEx,NA,RMB/kW
non_VRE,coal_chp_ccs,FOM,NA,RMB/kW*yr
non_VRE,coal_chp_ccs,VOM,NA,RMB/MWh
non_VRE,beccs,capEx,NA,RMB/kW
non_VRE,beccs,FOM,NA,RMB/kW*yr
non_VRE,beccs,VOM,NA,RMB/MWh
non_VRE,gas,capEx,2600,RMB/kW
non_VRE,gas,FOM,96,RMB/kW*yr
non_VRE,gas,VOM,23,RMB/MWh
non_VRE,gas_ccs,capEx,10800,RMB/kW
non_VRE,gas_ccs,FOM,224,RMB/kW*yr
non_VRE,gas_ccs,VOM,46,RMB/MWh
non_VRE,nuclear,capEx,15600,RMB/kW
non_VRE,nuclear,FOM,629,RMB/kW*yr
non_VRE,nuclear,VOM,14,RMB/MWh
non_VRE,hydro,capEx,1000,RMB/kW
non_VRE,hydro,FOM,203,RMB/kW*yr
VRE,onshore_wind,capEx,7700,RMB/kW
VRE,onshore_wind,FOM,170,RMB/kW*yr
VRE,offshore_wind,capEx,15000,RMB/kW
VRE,offshore_wind,FOM,715,RMB/kW*yr
VRE,centralized_pv,capEx,5300,RMB/kW
VRE,centralized_pv,FOM,85,RMB/kW*yr
VRE,distributed_pv,capEx,5300,RMB/kW
VRE,distributed_pv,FOM,107,RMB/kW*yr
storage,BAT,CapEx,6000,RMB/kW
storage,BAT,FOM,25,RMB/kW*yr
storage,BAT,VOM,14,RMB/MWh
storage,CAES,CapEx,6600,RMB/kW
storage,CAES,FOM,1.5,RMB/kW*yr
storage,CAES,VOM,20,RMB/MWh
storage,PHS,CapEx,4000,RMB/kW
storage,PHS,FOM,4.5,RMB/kW*yr
storage,PHS,VOM,1,RMB/MWh
inter_prov_transmission,1000kV_substation,capEx,NA,RMB/kW
inter_prov_transmission,800kV_substation,capEx,NA,RMB/kW
inter_prov_transmission,750kV_substation,capEx,NA,RMB/kW
inter_prov_transmission,500kV_substation,capEx,NA,RMB/kW
inter_prov_transmission,1000kV_overhead,capEx,NA,kRMB/km
inter_prov_transmission,800kV_overhead,capEx,NA,kRMB/km
inter_prov_transmission,750kV_overhead,capEx,NA,kRMB/km
inter_prov_transmission,500kV_overhead,capEx,NA,kRMB/km
