hour,month,Beijing,EastInnerMongolia,Gansu,Hebei,Heilongjiang,Henan,Jilin,Liaoning,Ningxia,Qinghai,Shaanxi,Shandong,Shanxi,Tianjin,WestInnerMongolia,Xinjiang
0,1,2.8,1.453333333,2.553333333,2.46,1.826666667,3.033333333,2.02,2.306666667,2.513333333,2.513333333,2.813333333,2.96,2.666666667,2.773333333,2.266666667,2.326666667
1,1,2.8,1.453333333,2.553333333,2.46,1.826666667,3.033333333,2.02,2.306666667,2.513333333,2.513333333,2.813333333,2.96,2.666666667,2.773333333,2.266666667,2.326666667
2,1,2.8,1.453333333,2.553333333,2.46,1.826666667,3.033333333,2.02,2.306666667,2.513333333,2.513333333,2.813333333,2.96,2.666666667,2.773333333,2.266666667,2.326666667
3,1,2.8,1.453333333,2.553333333,2.46,1.826666667,3.033333333,2.02,2.306666667,2.513333333,2.513333333,2.813333333,2.96,2.666666667,2.773333333,2.266666667,2.326666667
4,1,2.8,1.453333333,2.553333333,2.46,1.826666667,3.033333333,2.02,2.306666667,2.513333333,2.513333333,2.813333333,2.96,2.666666667,2.773333333,2.266666667,2.326666667
5,1,2.8,1.453333333,2.553333333,2.46,1.826666667,3.033333333,2.02,2.306666667,2.513333333,2.513333333,2.813333333,2.96,2.666666667,2.773333333,2.266666667,2.326666667
6,1,2.8,1.453333333,2.553333333,2.46,1.826666667,3.033333333,2.02,2.306666667,2.513333333,2.513333333,2.813333333,2.96,2.666666667,2.773333333,2.266666667,2.326666667
7,1,2.8,1.453333333,2.553333333,2.46,1.826666667,3.033333333,2.02,2.306666667,2.513333333,2.513333333,2.813333333,2.96,2.666666667,2.773333333,2.266666667,2.326666667
8,1,2.8,1.453333333,2.553333333,2.46,1.826666667,3.033333333,2.02,2.306666667,2.513333333,2.513333333,2.813333333,2.96,2.666666667,2.773333333,2.266666667,2.326666667
9,1,2.8,1.453333333,2.553333333,2.46,1.826666667,3.033333333,2.02,2.306666667,2.513333333,2.513333333,2.813333333,2.96,2.666666667,2.773333333,2.266666667,2.326666667
10,1,2.8,1.453333333,2.553333333,2.46,1.826666667,3.033333333,2.02,2.306666667,2.513333333,2.513333333,2.813333333,2.96,2.666666667,2.773333333,2.266666667,2.326666667
11,1,2.8,1.453333333,2.553333333,2.46,1.826666667,3.033333333,2.02,2.306666667,2.513333333,2.513333333,2.813333333,2.96,2.666666667,2.773333333,2.266666667,2.326666667
12,1,2.8,1.453333333,2.553333333,2.46,1.826666667,3.033333333,2.02,2.306666667,2.513333333,2.513333333,2.813333333,2.96,2.666666667,2.773333333,2.266666667,2.326666667
13,1,2.8,1.453333333,2.553333333,2.46,1.826666667,3.033333333,2.02,2.306666667,2.513333333,2.513333333,2.813333333,2.96,2.666666667,2.773333333,2.266666667,2.326666667
14,1,2.8,1.453333333,2.553333333,2.46,1.826666667,3.033333333,2.02,2.306666667,2.513333333,2.513333333,2.813333333,2.96,2.666666667,2.773333333,2.266666667,2.326666667
15,1,2.8,1.453333333,2.553333333,2.46,1.826666667,3.033333333,2.02,2.306666667,2.513333333,2.513333333,2.813333333,2.96,2.666666667,2.773333333,2.266666667,2.326666667
16,1,2.8,1.453333333,2.553333333,2.46,1.826666667,3.033333333,2.02,2.306666667,2.513333333,2.513333333,2.813333333,2.96,2.666666667,2.773333333,2.266666667,2.326666667
17,1,2.8,1.453333333,2.553333333,2.46,1.826666667,3.033333333,2.02,2.306666667,2.513333333,2.513333333,2.813333333,2.96,2.666666667,2.773333333,2.266666667,2.326666667
18,1,2.8,1.453333333,2.553333333,2.46,1.826666667,3.033333333,2.02,2.306666667,2.513333333,2.513333333,2.813333333,2.96,2.666666667,2.773333333,2.266666667,2.326666667
19,1,2.8,1.453333333,2.553333333,2.46,1.826666667,3.033333333,2.02,2.306666667,2.513333333,2.513333333,2.813333333,2.96,2.666666667,2.773333333,2.266666667,2.326666667
20,1,2.8,1.453333333,2.553333333,2.46,1.826666667,3.033333333,2.02,2.306666667,2.513333333,2.513333333,2.813333333,2.96,2.666666667,2.773333333,2.266666667,2.326666667
21,1,2.8,1.453333333,2.553333333,2.46,1.826666667,3.033333333,2.02,2.306666667,2.513333333,2.513333333,2.813333333,2.96,2.666666667,2.773333333,2.266666667,2.326666667
22,1,2.8,1.453333333,2.553333333,2.46,1.826666667,3.033333333,2.02,2.306666667,2.513333333,2.513333333,2.813333333,2.96,2.666666667,2.773333333,2.266666667,2.326666667
23,1,2.8,1.453333333,2.553333333,2.46,1.826666667,3.033333333,2.02,2.306666667,2.513333333,2.513333333,2.813333333,2.96,2.666666667,2.773333333,2.266666667,2.326666667
24,1,2.8,1.453333333,2.553333333,2.46,1.826666667,3.033333333,2.02,2.306666667,2.513333333,2.513333333,2.813333333,2.96,2.666666667,2.773333333,2.266666667,2.326666667
25,1,2.8,1.453333333,2.553333333,2.46,1.826666667,3.033333333,2.02,2.306666667,2.513333333,2.513333333,2.813333333,2.96,2.666666667,2.773333333,2.266666667,2.326666667
