lon,lat,provin
87.616848,43.825592,Xinjiang
87.308224,44.011182,Xinjiang
89.189651,42.951382,Xinjiang
86.08046,44.305428,Xinjiang
84.889207,45.579888,Xinjiang
81.324136,43.916823,Xinjiang
112.548879,37.870590,Shanxi
112.752694,37.687024,Shanxi
111.144319,37.518314,Shanxi
112.734174,38.416663,Shanxi
111.749180,40.842585,WestInnerMongolia
109.840347,40.657449,WestInnerMongolia
109.781327,39.608266,WestInnerMongolia
109.734589,38.285390,Shaanxi
108.940174,34.341568,Shaanxi
107.237974,34.361979,Shaanxi
108.708991,34.329605,Shaanxi
108.945233,34.896756,Shaanxi
109.509786,34.499995,Shaanxi
109.940477,33.870422,Shaanxi
111.007528,35.026412,Shanxi
111.518976,36.088005,Shanxi
105.724947,34.580863,Gansu
106.665240,35.543051,Gansu
107.643631,35.709077,Gansu
106.230909,38.487193,Ningxia
106.383303,38.983236,Ningxia
106.198393,37.997460,Ningxia
105.196902,37.499972,Ningxia
106.546050,38.903169,Ningxia
106.078818,38.021302,Ningxia
106.340054,38.102655,Ningxia
106.253145,38.277373,Ningxia
103.834303,36.061089,Gansu
101.778228,36.617144,Qinghai
102.104287,36.502039,Qinghai
104.138559,36.544756,Gansu
104.626282,35.580662,Gansu
103.210538,35.601182,Gansu
100.900997,36.954413,Qinghai
100.620373,36.286437,Qinghai
102.015248,35.519548,Qinghai
126.534967,45.803775,Heilongjiang
125.103784,46.589309,Heilongjiang
123.918186,47.354348,Heilongjiang
126.968887,46.653845,Heilongjiang
129.633168,44.551653,Heilongjiang
125.323544,43.817071,Jilin
126.549576,43.837883,Jilin
124.350398,43.166419,Jilin
125.143532,42.887918,Jilin
124.825117,45.141789,Jilin
129.508946,42.891253,Jilin
123.431474,41.805698,Liaoning
121.614682,38.914003,Liaoning
122.994329,41.108647,Liaoning
123.957208,41.880872,Liaoning
123.766485,41.294175,Liaoning
124.354706,40.000499,Liaoning
123.236944,41.267244,Liaoning
122.235417,40.667012,Liaoning
122.070714,41.119997,Liaoning
116.407526,39.904030,Beijing
117.200983,39.084158,Tianjin
114.514859,38.042306,Hebei
118.180193,39.630867,Hebei
115.464806,38.873891,Hebei
119.600492,39.935385,Hebei
116.683752,39.538047,Hebei
116.838834,38.304477,Hebei
117.962410,40.954071,Hebei
114.887543,40.824418,Hebei
117.119999,36.651216,Shandong
120.382639,36.067082,Shandong
121.447935,37.463822,Shandong
118.054927,36.813487,Shandong
119.161755,36.706774,Shandong
118.674767,37.434751,Shandong
122.120419,37.513068,Shandong
119.526888,35.416377,Shandong
113.625368,34.746599,Henan
112.454040,34.619682,Henan
114.307581,34.797239,Henan
112.528321,32.990833,Henan
114.392392,36.097577,Henan
115.656370,34.414172,Henan
113.926800,35.303004,Henan
113.192661,33.766169,Henan
113.852640,34.035506,Henan
113.241823,35.215892,Henan
114.696951,33.626149,Henan
114.091023,32.146983,Henan
114.022298,33.011529,Henan
114.297272,35.747225,Henan
115.029215,35.761829,Henan
114.016539,33.581412,Henan
111.200135,34.772493,Henan
112.602344,35.06903,Henan
113.116255,36.195386,Shanxi
112.851831,35.490701,Shanxi
111.007528,35.026412,Shanxi
114.504844,37.070589,Hebei
114.538961,36.625657,Hebei
115.985371,36.456703,Shandong
115.480656,35.233750,Shandong
116.964356,33.646373,Anhui
116.798265,33.955844,Anhui
117.389719,32.916287,Anhui
115.814204,32.890124,Anhui
115.778676,33.844582,Anhui
121.473701,31.230416,Shanghai
118.796877,32.060255,Jiangsu
120.311910,31.491169,Jiangsu
119.973987,31.810689,Jiangsu
120.585315,31.298886,Jiangsu
120.894291,31.980171,Jiangsu
119.412966,32.394210,Jiangsu
119.425836,32.187849,Jiangsu
120.163561,33.347382,Jiangsu
119.923116,32.455778,Jiangsu
120.155070,30.274084,Zhejiang
121.550357,29.874556,Zhejiang
120.086823,30.894348,Zhejiang
120.755486,30.746129,Zhejiang
120.580232,30.029752,Zhejiang
119.647444,29.079059,Zhejiang
122.207215,29.985295,Zhejiang
121.420757,28.656386,Zhejiang
117.227239,31.820586,Anhui
118.432941,31.352859,Anhui
118.506759,31.670452,Anhui
117.812079,30.945429,Anhui
117.063754,30.543494,Anhui
118.317106,32.301556,Anhui
117.491568,30.664800,Anhui
118.758816,30.940718,Anhui
114.305392,30.593098,Hubei
115.038520,30.199652,Hubei
114.894843,30.391940,Hubei
114.872316,30.453905,Hubei
113.916902,30.924568,Hubei
114.322492,29.841443,Hubei
112.122414,32.008986,Hubei
111.286471,30.691967,Hubei
112.239741,30.335165,Hubei
112.199265,31.035423,Hubei
112.938814,28.228209,Hunan
113.134002,27.827550,Hunan
112.944049,27.829738,Hunan
113.128958,29.357104,Hunan
112.355180,28.553860,Hunan
111.698497,29.031673,Hunan
112.571997,26.893230,Hunan
111.993497,27.700062,Hunan
115.858197,28.682892,Jiangxi
116.001930,29.705077,Jiangxi
117.178419,29.268835,Jiangxi
117.069202,28.260189,Jiangxi
114.917346,27.817808,Jiangxi
114.416778,27.815619,Jiangxi
113.854556,27.622768,Jiangxi
117.943433,28.454863,Jiangxi
116.358181,27.949217,Jiangxi
114.992509,27.113443,Jiangxi
118.675675,24.874132,Fujian
119.296494,26.074507,Fujian
120.699366,27.994267,Zhejiang
118.089425,24.479833,Fujian
117.647481,24.512948,Fujian
114.935029,25.831829,Jiangxi
117.017536,25.075123,Fujian
116.681972,23.354091,Guangdong
117.638678,26.263406,Fujian
119.007777,25.454084,Fujian
117.943433,28.454863,Jiangxi
119.547932,26.665617,Fujian
116.372831,23.549993,Guangdong
118.081325,27.382829,Fujian
118.859457,28.970079,Zhejiang
116.358181,27.949217,Jiangxi
119.922796,28.467630,Zhejiang
116.122238,24.288615,Guangdong
116.622603,23.656950,Guangdong
117.069202,28.260189,Jiangxi
113.264434,23.129162,Guangdong
114.057868,22.543099,Guangdong
113.121416,23.021548,Guangdong
113.751765,23.020536,Guangdong
113.392782,22.517645,Guangdong
113.576726,22.270715,Guangdong
113.081901,22.578738,Guangdong
112.465091,23.047191,Guangdong
114.416196,23.111847,Guangdong
108.366543,22.817002,Guangxi
109.119927,21.481254,Guangxi
108.654146,21.979933,Guangxi
108.353846,21.686860,Guangxi
110.164756,22.636379,Guangxi
107.364711,22.376532,Guangxi
110.359377,21.270707,Guangdong
110.925456,21.662999,Guangdong
111.982232,21.857958,Guangdong
110.198293,20.044001,Hainan
109.580811,19.521134,Hainan
108.651815,19.095351,Hainan
104.066541,30.572269,Sichuan
106.551556,29.563009,Chongqing
104.778442,29.339030,Sichuan
105.442258,28.871811,Sichuan
104.397894,31.126855,Sichuan
105.592898,30.532847,Sichuan
105.058433,29.580228,Sichuan
103.765568,29.552106,Sichuan
106.110698,30.837793,Sichuan
103.848538,30.075439,Sichuan
104.643215,28.751768,Sichuan
106.633212,30.455961,Sichuan
104.627636,30.128901,Sichuan
104.679114,31.467450,Sichuan
107.468023,31.209571,Sichuan
103.013261,29.980537,Sichuan
106.630153,26.647661,Guizhou
106.927389,27.725654,Guizhou
105.283992,27.302589,Guizhou
105.947593,26.253072,Guizhou
107.982859,26.583442,Guizhou
107.522097,26.254092,Guizhou
102.832891,24.880095,Yunnan
103.796167,25.489999,Yunnan
102.546543,24.352036,Yunnan
101.528068,25.045532,Yunnan
103.374799,23.363130,Yunnan
91.140856,29.645554,Xizang
75.989755,39.470400,Xinjiang
119.765744,49.211574,EastInnerMongolia
118.886856,42.257817,EastInnerMongolia
116.999932,32.625478,Anhui
108.239473,34.527551,Shaanxi
103.260380,36.736513,Gansu
95.782306,40.520545,Gansu
105.192780,25.431377,Guizhou
104.895467,25.092040,Guizhou
114.720086,41.158557,Hebei
111.450006,30.378327,Hubei
116.048222,43.933454,EastInnerMongolia
102.830892,36.320321,Qinghai
94.928484,36.406404,Qinghai
109.489727,36.585455,Shaanxi
102.264449,27.894504,Sichuan
93.514916,42.818501,Xinjiang
98.494483,39.732410,Gansu
103.717465,27.338257,Yunnan
100.966512,22.825065,Yunnan
