index,lat,lon,province
0,18.25,109.375,Hainan
1,18.25,109.6875,Hainan
2,18.5,108.75,Hainan
3,18.5,109.0625,Hainan
4,18.5,109.375,Hainan
5,18.5,109.6875,Hainan
6,18.5,110,Hainan
7,18.75,108.75,Hainan
8,18.75,109.0625,Hainan
9,18.75,109.375,Hainan
10,18.75,109.6875,Hainan
11,18.75,110,Hainan
12,18.75,110.3125,Hainan
13,19,108.75,Hainan
14,19,109.0625,Hainan
15,19,109.375,Hainan
16,19,109.6875,Hainan
17,19,110,Hainan
18,19,110.3125,Hainan
19,19.25,108.75,Hainan
20,19.25,109.0625,Hainan
21,19.25,109.375,Hainan
22,19.25,109.6875,Hainan
23,19.25,110,Hainan
24,19.25,110.3125,Hainan
25,19.25,110.625,Hainan
26,19.5,109.0625,Hainan
27,19.5,109.375,Hainan
28,19.5,109.6875,Hainan
29,19.5,110,Hainan
30,19.5,110.3125,Hainan
31,19.5,110.625,Hainan
32,19.75,109.375,Hainan
33,19.75,109.6875,Hainan
34,19.75,110,Hainan
35,19.75,110.3125,Hainan
36,19.75,110.625,Hainan
37,19.75,110.9375,Hainan
38,20,109.6875,Hainan
39,20,110.3125,Hainan
40,20,110.625,Hainan
41,20,110.9375,Hainan
42,20.25,110.3125,Guangdong
43,20.5,110,Guangdong
44,20.5,110.3125,Guangdong
45,20.75,110,Guangdong
46,20.75,110.3125,Guangdong
47,21,109.0625,Guangxi
48,21,109.6875,Guangdong
49,21,110,Guangdong
50,21,110.3125,Guangdong
51,21.25,110,Guangdong
52,21.25,110.3125,Guangdong
53,21.25,110.625,Guangdong
54,21.5,100.3125,Yunnan
55,21.5,100.625,Yunnan
56,21.5,101.25,Yunnan
57,21.5,101.5625,Yunnan
58,21.5,109.0625,Guangxi
59,21.5,109.375,Guangxi
60,21.5,109.6875,Guangxi
61,21.5,110,Guangdong
62,21.5,110.3125,Guangdong
63,21.5,110.625,Guangdong
64,21.5,110.9375,Guangdong
65,21.5,111.25,Guangdong
66,21.5,111.5625,Guangdong
67,21.75,100,Yunnan
68,21.75,100.3125,Yunnan
69,21.75,100.625,Yunnan
70,21.75,100.9375,Yunnan
71,21.75,101.25,Yunnan
72,21.75,101.5625,Yunnan
73,21.75,107.1875,Guangxi
74,21.75,107.5,Guangxi
75,21.75,107.8125,Guangxi
76,21.75,108.125,Guangxi
77,21.75,108.4375,Guangxi
78,21.75,108.75,Guangxi
79,21.75,109.0625,Guangxi
80,21.75,109.375,Guangxi
81,21.75,109.6875,Guangxi
82,21.75,110,Guangdong
83,21.75,110.3125,Guangdong
84,21.75,110.625,Guangdong
85,21.75,110.9375,Guangdong
86,21.75,111.25,Guangdong
87,21.75,111.5625,Guangdong
88,21.75,111.875,Guangdong
89,21.75,112.1875,Guangdong
90,21.75,112.5,Guangdong
91,21.75,112.8125,Guangdong
92,22,100,Yunnan
93,22,100.3125,Yunnan
94,22,100.625,Yunnan
95,22,100.9375,Yunnan
96,22,101.25,Yunnan
97,22,101.5625,Yunnan
98,22,106.875,Guangxi
99,22,107.1875,Guangxi
100,22,107.5,Guangxi
101,22,107.8125,Guangxi
102,22,108.125,Guangxi
103,22,108.4375,Guangxi
104,22,108.75,Guangxi
105,22,109.0625,Guangxi
106,22,109.375,Guangxi
107,22,109.6875,Guangxi
108,22,110,Guangxi
109,22,110.3125,Guangxi
110,22,110.625,Guangdong
111,22,110.9375,Guangdong
112,22,111.25,Guangdong
113,22,111.5625,Guangdong
114,22,111.875,Guangdong
115,22,112.1875,Guangdong
116,22,112.5,Guangdong
117,22,112.8125,Guangdong
118,22,113.125,Guangdong
119,22,113.4375,Guangdong
120,22.25,99.375,Yunnan
121,22.25,99.6875,Yunnan
122,22.25,100,Yunnan
123,22.25,100.3125,Yunnan
124,22.25,100.625,Yunnan
125,22.25,100.9375,Yunnan
126,22.25,101.25,Yunnan
