Index,col,row,lat,lon,suitable_area(m2),Average_CF,Annual potential (GWh)
0,431,925,17.5,108.75,2.0E+06,0.272,25.62
1,431,926,17.5,109.0625,6.9E+07,0.289,939.27
2,431,927,17.5,109.375,5.0E+06,0.315,74.07
3,431,928,17.5,109.6875,1.7E+08,0.336,2668.70
4,431,929,17.5,110,2.0E+08,0.345,3194.74
5,431,930,17.5,110.3125,0.0E+00,0.347,0.00
6,432,924,17.75,108.4375,2.1E+08,0.270,2696.53
7,432,925,17.75,108.75,6.3E+08,0.253,7483.55
8,432,926,17.75,109.0625,1.5E+08,0.261,1876.82
9,432,927,17.75,109.375,0.0E+00,0.292,0.00
10,432,928,17.75,109.6875,8.0E+06,0.323,121.39
11,432,929,17.75,110,2.0E+08,0.340,3113.56
12,432,930,17.75,110.3125,5.0E+08,0.344,8033.99
13,432,931,17.75,110.625,3.8E+07,0.349,624.44
14,433,923,18,108.125,0.0E+00,0.309,0.00
15,433,924,18,108.4375,8.2E+08,0.270,10358.90
16,433,925,18,108.75,8.1E+08,0.228,8616.48
17,433,926,18,109.0625,5.2E+08,0.214,5265.55
18,433,927,18,109.375,4.5E+08,0.216,4518.22
19,433,928,18,109.6875,7.4E+08,0.252,8771.68
20,433,929,18,110,3.3E+08,0.308,4721.08
21,433,930,18,110.3125,3.4E+08,0.341,5415.66
22,433,931,18,110.625,1.8E+08,0.347,2973.98
23,433,932,18,110.9375,0.0E+00,0.355,0.00
24,434,922,18.25,107.8125,0.0E+00,0.346,0.00
25,434,923,18.25,108.125,0.0E+00,0.332,0.00
26,434,924,18.25,108.4375,5.9E+08,0.284,7840.99
27,434,925,18.25,108.75,9.2E+08,0.212,9121.43
28,434,926,18.25,109.0625,8.2E+08,0.137,5271.01
29,434,927,18.25,109.375,5.6E+08,0.104,2740.09
30,434,928,18.25,109.6875,5.4E+08,0.123,3082.49
31,434,929,18.25,110,9.0E+08,0.239,10070.91
32,434,930,18.25,110.3125,4.1E+08,0.328,6394.63
33,434,931,18.25,110.625,8.5E+07,0.343,1371.78
34,434,932,18.25,110.9375,5.9E+07,0.354,983.58
35,434,933,18.25,111.25,0.0E+00,0.362,0.00
36,435,922,18.5,107.8125,0.0E+00,0.368,0.00
37,435,923,18.5,108.125,0.0E+00,0.360,0.00
38,435,924,18.5,108.4375,4.8E+08,0.320,7211.25
