Index,col,row,lat,lon,suitable_area(m2),Average_CF,Annual potential (GWh),provin
1,431,926,17.5,109.0625,69000000.0,0.289,939.27,Hainan_off
2,431,927,17.5,109.375,5000000.0,0.315,74.07,Hainan_off
3,431,928,17.5,109.6875,170000000.0,0.336,2668.7,Hainan_off
4,431,929,17.5,110.0,200000000.0,0.345,3194.74,Hainan_off
6,432,924,17.75,108.4375,210000000.0,0.27,2696.53,Hainan_off
7,432,925,17.75,108.75,630000000.0,0.253,7483.55,Hainan_off
8,432,926,17.75,109.0625,150000000.0,0.261,1876.82,Hainan_off
9,432,927,17.75,109.375,0.0,0.292,0.0,Hainan_off
10,432,928,17.75,109.6875,8000000.0,0.323,121.39,Hainan_off
11,432,929,17.75,110.0,200000000.0,0.34,3113.56,Hainan_off
12,432,930,17.75,110.3125,500000000.0,0.344,8033.99,Hainan_off
13,432,931,17.75,110.625,38000000.0,0.349,624.44,Hainan_off
14,433,923,18.0,108.125,0.0,0.309,0.0,Hainan_off
15,433,924,18.0,108.4375,820000000.0,0.27,10358.9,Hainan_off
16,433,925,18.0,108.75,810000000.0,0.228,8616.48,Hainan_off
17,433,926,18.0,109.0625,520000000.0,0.214,5265.55,Hainan_off
18,433,927,18.0,109.375,450000000.0,0.216,4518.22,Hainan_off
19,433,928,18.0,109.6875,740000000.0,0.252,8771.68,Hainan_off
20,433,929,18.0,110.0,330000000.0,0.308,4721.08,Hainan_off
21,433,930,18.0,110.3125,340000000.0,0.341,5415.66,Hainan_off
22,433,931,18.0,110.625,180000000.0,0.347,2973.98,Hainan_off
23,433,932,18.0,110.9375,0.0,0.355,0.0,Hainan_off
24,434,922,18.25,107.8125,0.0,0.346,0.0,Hainan_off
25,434,923,18.25,108.125,0.0,0.332,0.0,Hainan_off
26,434,924,18.25,108.4375,590000000.0,0.284,7840.99,Hainan_off
27,434,925,18.25,108.75,920000000.0,0.212,9121.43,Hainan_off
28,434,926,18.25,109.0625,820000000.0,0.137,5271.01,Hainan_off
29,434,927,18.25,109.375,560000000.0,0.104,2740.09,Hainan_off
30,434,928,18.25,109.6875,540000000.0,0.123,3082.49,Hainan
31,434,929,18.25,110.0,900000000.0,0.239,10070.91,Hainan_off
32,434,930,18.25,110.3125,410000000.0,0.328,6394.63,Hainan_off
33,434,931,18.25,110.625,85000000.0,0.343,1371.78,Hainan_off
34,434,932,18.25,110.9375,59000000.0,0.354,983.58,Hainan_off
35,434,933,18.25,111.25,0.0,0.362,0.0,Hainan_off
