Index,col,row,lat,lon,suitable_area(m2),Average_CF,Annual potential (GWh),provin
36,434,926,18.25,109.0625,65000000.0,0.15,385.99,Hainan
37,434,927,18.25,109.375,220000000.0,0.112,955.25,Hainan
38,434,928,18.25,109.6875,140000000.0,0.124,693.36,Hainan
39,434,929,18.25,110.0,0.0,0.216,0.0,Hainan
40,435,925,18.5,108.75,340000000.0,0.209,2807.24,Hainan
41,435,926,18.5,109.0625,740000000.0,0.105,3078.97,Hainan
42,435,927,18.5,109.375,310000000.0,0.083,1006.67,Hainan
43,435,928,18.5,109.6875,640000000.0,0.077,1944.02,Hainan
44,435,929,18.5,110.0,550000000.0,0.143,3092.13,Hainan
45,435,930,18.5,110.3125,0.0,0.267,0.0,Hainan
46,436,925,18.75,108.75,350000000.0,0.203,2787.83,Hainan
47,436,926,18.75,109.0625,400000000.0,0.083,1308.46,Hainan
48,436,927,18.75,109.375,410000000.0,0.046,757.84,Hainan
49,436,928,18.75,109.6875,360000000.0,0.047,665.17,Hainan
50,436,929,18.75,110.0,310000000.0,0.093,1131.66,Hainan
51,436,930,18.75,110.3125,490000000.0,0.204,3972.51,Hainan
52,436,931,18.75,110.625,17000000.0,0.311,208.84,Hainan
53,437,925,19.0,108.75,700000000.0,0.262,7200.47,Hainan
54,437,926,19.0,109.0625,410000000.0,0.077,1245.36,Hainan
55,437,927,19.0,109.375,300000000.0,0.046,550.96,Hainan
56,437,928,19.0,109.6875,440000000.0,0.047,826.48,Hainan
57,437,929,19.0,110.0,460000000.0,0.085,1538.05,Hainan
58,437,930,19.0,110.3125,540000000.0,0.143,3077.55,Hainan
59,437,931,19.0,110.625,130000000.0,0.223,1173.14,Hainan
60,438,925,19.25,108.75,690000000.0,0.322,8771.45,Hainan
61,438,926,19.25,109.0625,650000000.0,0.156,4042.53,Hainan
62,438,927,19.25,109.375,650000000.0,0.092,2369.44,Hainan
63,438,928,19.25,109.6875,550000000.0,0.076,1649.89,Hainan
64,438,929,19.25,110.0,750000000.0,0.097,2876.1,Hainan
65,438,930,19.25,110.3125,640000000.0,0.138,3508.37,Hainan
66,438,931,19.25,110.625,360000000.0,0.176,2474.4,Hainan
66,438,931,19.25,110.625,360000000.0,0.176,2474.4,Hainan
67,439,925,19.5,108.75,110000000.0,0.362,1602.56,Hainan
68,439,926,19.5,109.0625,740000000.0,0.18,5248.68,Hainan
69,439,927,19.5,109.375,890000000.0,0.113,3966.64,Hainan
70,439,928,19.5,109.6875,770000000.0,0.097,2973.39,Hainan
71,439,929,19.5,110.0,730000000.0,0.115,3300.08,Hainan
72,439,930,19.5,110.3125,720000000.0,0.144,4061.85,Hainan
73,439,931,19.5,110.625,460000000.0,0.167,3028.04,Hainan
74,439,932,19.5,110.9375,61000000.0,0.285,687.5,Hainan
75,440,926,19.75,109.0625,65000000.0,0.275,707.45,Hainan
76,440,927,19.75,109.375,690000000.0,0.179,4872.62,Hainan
77,440,928,19.75,109.6875,860000000.0,0.149,5025.57,Hainan
78,440,929,19.75,110.0,850000000.0,0.149,5039.55,Hainan
79,440,930,19.75,110.3125,780000000.0,0.178,5489.19,Hainan
80,440,931,19.75,110.625,640000000.0,0.22,5561.62,Hainan
81,440,932,19.75,110.9375,570000000.0,0.33,7470.93,Hainan
82,441,927,20.0,109.375,16000000.0,0.253,160.28,Hainan
83,441,928,20.0,109.6875,230000000.0,0.222,2009.68,Hainan
84,441,929,20.0,110.0,280000000.0,0.199,2179.9,Hainan
85,441,930,20.0,110.3125,380000000.0,0.225,3407.97,Hainan
86,441,931,20.0,110.625,520000000.0,0.282,5787.71,Hainan
87,441,932,20.0,110.9375,250000000.0,0.367,3564.19,Hainan
88,441,933,20.0,111.25,1000000.0,0.391,15.44,Hainan
89,442,929,20.25,110.0,260000000.0,0.27,2730.56,Guangdong
90,442,930,20.25,110.3125,190000000.0,0.281,2063.11,Guangdong
91,442,931,20.25,110.625,8000000.0,0.314,99.39,Hainan
92,443,928,20.5,109.6875,33000000.0,0.266,347.34,Guangdong
93,443,929,20.5,110.0,630000000.0,0.305,7630.39,Guangdong
94,443,930,20.5,110.3125,620000000.0,0.324,7943.24,Guangdong
95,443,931,20.5,110.625,64000000.0,0.324,819.44,Guangdong
96,444,928,20.75,109.6875,270000000.0,0.271,2883.63,Guangdong
97,444,929,20.75,110.0,820000000.0,0.303,9828.92,Guangdong
98,444,930,20.75,110.3125,360000000.0,0.302,4267.21,Guangdong
99,444,931,20.75,110.625,2000000.0,0.315,24.87,Guangdong
102,445,926,21.0,109.0625,13000000.0,0.282,144.87,Guangxi
103,445,927,21.0,109.375,0.0,0.253,0.0,Guangdong
105,445,929,21.0,110.0,840000000.0,0.286,9466.76,Guangdong
106,445,930,21.0,110.3125,210000000.0,0.27,2282.52,Guangdong
107,445,931,21.0,110.625,110000000.0,0.29,1203.42,Guangdong
108,446,901,21.25,101.25,96000000.0,0.023,86.19,Yunnan
109,446,902,21.25,101.5625,8000000.0,0.013,4.14,Yunnan
111,446,928,21.25,109.6875,230000000.0,0.246,2205.49,Guangdong
112,446,929,21.25,110.0,850000000.0,0.259,8736.87,Guangdong
113,446,930,21.25,110.3125,580000000.0,0.255,5871.01,Guangdong
114,446,931,21.25,110.625,430000000.0,0.259,4405.46,Guangdong
115,446,933,21.25,111.25,0.0,0.309,0.0,Guangdong
117,447,898,21.5,100.3125,38000000.0,0.008,12.23,Yunnan
118,447,899,21.5,100.625,160000000.0,0.016,99.67,Yunnan
120,447,901,21.5,101.25,140000000.0,0.011,61.24,Yunnan
121,447,902,21.5,101.5625,59000000.0,0.015,33.96,Yunnan
125,447,923,21.5,108.125,180000000.0,0.285,2042.09,Guangxi
126,447,924,21.5,108.4375,52000000.0,0.317,651.2,Guangxi
127,447,925,21.5,108.75,4000000.0,0.299,47.22,Guangxi
128,447,926,21.5,109.0625,220000000.0,0.286,2494.64,Guangxi
129,447,927,21.5,109.375,590000000.0,0.274,6435.28,Guangxi
130,447,928,21.5,109.6875,290000000.0,0.245,2815.35,Guangxi
131,447,929,21.5,110.0,810000000.0,0.254,8078.11,Guangdong
132,447,930,21.5,110.3125,840000000.0,0.244,8112.45,Guangdong
133,447,931,21.5,110.625,880000000.0,0.253,8824.73,Guangdong
134,447,932,21.5,110.9375,610000000.0,0.249,6038.26,Guangdong
136,447,934,21.5,111.5625,270000000.0,0.281,3013.64,Guangdong
137,447,935,21.5,111.875,46000000.0,0.282,512.99,Guangdong
138,447,936,21.5,112.1875,1000000.0,0.288,11.38,Guangdong
139,447,937,21.5,112.5,1000000.0,0.288,11.37,Guangdong
140,447,938,21.5,112.8125,8000000.0,0.297,94.02,Guangdong
141,448,897,21.75,100.0,110000000.0,0.013,56.39,Yunnan
142,448,898,21.75,100.3125,340000000.0,0.02,266.66,Yunnan
143,448,899,21.75,100.625,300000000.0,0.033,383.34,Yunnan
144,448,900,21.75,100.9375,220000000.0,0.008,70.36,Yunnan
145,448,901,21.75,101.25,120000000.0,0.01,49.27,Yunnan
146,448,902,21.75,101.5625,42000000.0,0.017,27.5,Yunnan
149,448,920,21.75,107.1875,150000000.0,0.191,1093.84,Guangxi
150,448,921,21.75,107.5,220000000.0,0.12,1040.84,Guangxi
151,448,922,21.75,107.8125,400000000.0,0.092,1445.97,Guangxi
152,448,923,21.75,108.125,530000000.0,0.2,4172.75,Guangxi
153,448,924,21.75,108.4375,480000000.0,0.323,6144.17,Guangxi
154,448,925,21.75,108.75,570000000.0,0.321,7271.07,Guangxi
155,448,926,21.75,109.0625,810000000.0,0.307,9779.11,Guangxi
156,448,927,21.75,109.375,820000000.0,0.282,9076.84,Guangxi
157,448,928,21.75,109.6875,760000000.0,0.26,7783.85,Guangxi
158,448,929,21.75,110.0,860000000.0,0.255,8637.31,Guangdong
159,448,930,21.75,110.3125,750000000.0,0.228,6740.9,Guangdong
160,448,931,21.75,110.625,850000000.0,0.23,7697.8,Guangdong
161,448,932,21.75,110.9375,750000000.0,0.212,6313.41,Guangdong
162,448,933,21.75,111.25,740000000.0,0.178,5171.23,Guangdong
163,448,934,21.75,111.5625,670000000.0,0.184,4833.45,Guangdong
164,448,935,21.75,111.875,460000000.0,0.243,4379.71,Guangdong
166,448,937,21.75,112.5,270000000.0,0.255,2674.39,Guangdong
168,448,939,21.75,113.125,0.0,0.278,0.0,Guangdong
169,448,942,21.75,114.0625,0.0,0.302,0.0,Guangdong
174,449,897,22.0,100.0,270000000.0,0.017,184.99,Yunnan
175,449,898,22.0,100.3125,490000000.0,0.031,594.83,Yunnan
176,449,899,22.0,100.625,440000000.0,0.021,356.39,Yunnan
177,449,900,22.0,100.9375,300000000.0,0.007,86.3,Yunnan
178,449,901,22.0,101.25,100000000.0,0.012,48.19,Yunnan
179,449,902,22.0,101.5625,59000000.0,0.019,43.59,Yunnan
182,449,919,22.0,106.875,420000000.0,0.211,3473.1,Guangxi
183,449,920,22.0,107.1875,530000000.0,0.197,4113.56,Guangxi
184,449,921,22.0,107.5,420000000.0,0.166,2767.3,Guangxi
185,449,922,22.0,107.8125,530000000.0,0.143,3002.14,Guangxi
186,449,923,22.0,108.125,350000000.0,0.178,2451.92,Guangxi
187,449,924,22.0,108.4375,740000000.0,0.298,8764.51,Guangxi
188,449,925,22.0,108.75,830000000.0,0.331,10882.5,Guangxi
189,449,926,22.0,109.0625,820000000.0,0.318,10274.01,Guangxi
190,449,927,22.0,109.375,820000000.0,0.278,9001.16,Guangxi
191,449,928,22.0,109.6875,670000000.0,0.247,6518.94,Guangxi
192,449,929,22.0,110.0,780000000.0,0.249,7665.53,Guangxi
193,449,930,22.0,110.3125,850000000.0,0.243,8178.24,Guangxi
194,449,931,22.0,110.625,860000000.0,0.221,7490.36,Guangdong
195,449,932,22.0,110.9375,800000000.0,0.18,5719.05,Guangdong
196,449,933,22.0,111.25,580000000.0,0.126,2869.69,Guangdong
