,item,2030,2035
0,demand_pwh,13.500000000000012,15.00000000000001
1,--------, , 
2,coal_unabated_pwh,4.39585325,3.4367431
3,coal_ccs_pwh,0.0,0.0
4,chp_ccs_pwh,0.0,0.0
5,gas_unabated_pwh,0.05694,0.05694012
6,gas_ccs_pwh,0.0,0.0
7,--------, , 
8,coal_unabated_gw,1225.61,1046.54
9,coal_ccs_gw,0.0,0.0
10,chp_ccs_gw,0.0,0.0
11,gas_unabated_gw,130.0,130.0
12,gas_ccs_gw,0.0,0.0
13,beccs_gw,0.0,0.0
14,bio_gw,35.010000000000005,35.010000000000005
15,hydro_gw,434.98,459.99
16,nuclear_gw,125.01999999999998,175.45999999999998
17,--------, , 
18,onshore_gw,1151.0997817282562,1746.7272332301309
19,offshore_gw,109.00003682674478,109.72422998643941
20,utility_gw,1048.5061436199999,1361.70218609
21,distributed_gw,468.00001523000003,468.00007231000006
22,cap_phs_gw,86.42,113.30000000000001
23,cap_bat_gw,154.0,154.0
24,cap_caes_gw,0.0,0.0
25,cap_vrb_gw,0.0,0.0
26,--------, , 
27,old_trans_cap,826.2500000000007,1153.7300000000007
28,add_trans_cap,327.48,263.38
29,tot_trans_cap,1153.730000000001,1417.1100000000006
30,--------, , 
31,fossil_share,0.3298365370370367,0.23291221466666648
32,renewable_gw,2776.605977405001,3686.1537216165707
33,storage_gw,240.42000000000002,267.3
34,solar_gw,1516.50615885,1829.7022584000001
35,wind_gw,1260.099818555001,1856.4514632165703
