,resource,gen_pwh,gen_share
0,l1_ccs,0.0,0.0
1,l1_chp,0.0,0.0
2,l1_unabated,4.3945511444857575,0.3515640915588603
3,l4_ccs,0.0,0.0
4,l4_unabated,0.05694000130781918,0.00455520010462553
5,l2,1.5450955750436606,0.12360764600349274
6,l3,1.0928596217037936,0.08742876973630341
7,wind,3.032442019976861,0.24259536159814868
8,solar,2.195544088333868,0.1756435270667093
9,bio,0.24535008000000005,0.019628006399999988
10,re_share,,0.418238888664858
11,clean_share,,0.648903310804654
12,wind_curtail,0.0182,
13,solar_curtail,0.018,
14,total_gen,12.56278253085176,
15,total_demand,12.50000000000001,
