,resource,gen_pwh,gen_share
0,l1_ccs,0.0,0.0
1,l1_chp,0.0,0.0
2,l1_unabated,3.4410209076135736,0.22940139384090474
3,l4_ccs,0.0,0.0
4,l4_unabated,0.05694000519582827,0.003796000346388549
5,l2,1.6248452077134636,0.10832301384756417
6,l3,1.5217536949691797,0.10145024633127857
7,wind,5.463783630026008,0.36425224200173356
8,solar,2.767065905877627,0.18447106039184166
9,bio,0.24535008000000005,0.016356671999999992
10,re_share,,0.5487233023935753
11,clean_share,,0.774853234572418
12,wind_curtail,0.1107,
13,solar_curtail,0.0822,
14,total_gen,15.120759431395678,
15,total_demand,15.00000000000001,
