,item,2030,2035
0,demand_pwh,13.500000000000012,15.00000000000001
1,--------, , 
2,coal_unabated_pwh,4.39496705,3.4355914299999997
3,coal_ccs_pwh,0.0,0.0
4,chp_ccs_pwh,0.0,0.0
5,gas_unabated_pwh,0.05694,0.05694
6,gas_ccs_pwh,0.0,0.0
7,--------, , 
8,coal_unabated_gw,1225.61,1010.79
9,coal_ccs_gw,0.0,0.0
10,chp_ccs_gw,0.0,0.0
11,gas_unabated_gw,130.0,130.0
12,gas_ccs_gw,0.0,0.0
13,beccs_gw,0.0,0.0
14,bio_gw,35.010000000000005,35.010000000000005
15,hydro_gw,434.98,459.99
16,nuclear_gw,125.01999999999998,175.45999999999998
17,--------, , 
18,onshore_gw,1115.966282128029,1730.7809085703186
19,offshore_gw,109.0002506,109.0002506
20,utility_gw,1154.87006735,1430.22120483
21,distributed_gw,468.0004569999999,468.000457
22,cap_phs_gw,86.42,107.11000000000001
23,cap_bat_gw,154.01,154.01
24,cap_caes_gw,0.0,0.0
25,cap_vrb_gw,0.0,0.0
26,--------, , 
27,old_trans_cap,826.2500000000007,1118.8700000000003
28,add_trans_cap,292.62,266.06
29,tot_trans_cap,1118.8700000000006,1384.9300000000003
30,--------, , 
31,fossil_share,0.3297708925925922,0.2328354286666665
32,renewable_gw,2847.837057078029,3738.0028210003184
33,storage_gw,240.42999999999998,261.12
34,solar_gw,1622.87052435,1898.22166183
35,wind_gw,1224.966532728029,1839.7811591703185
